",""X1"",""X2""";;;;;;;;
"2044,""After exactly 1 year it doesn’t work!"",""Reviewed in the United States on July 31, 2019""";;;;;;;;
"2045,""Malfunctions a lot and Not great technology and will have to contact manufacturers so I can talk to them, not happy"",""Reviewed in the United States on July 30, 2019""";;;;;;;;
"2046,""I purchased this product about a year ago and it is still working great! The suction is still very good. It sucks up all sort of stuff. From kitty hair, house dust, wify hair, kitty food, anything that is small. I run it every morning and it keeps my house really clean. It works very well on hardwood floors. Carpet is just ok. After a year of use the battery life is still pretty good. It has been very reliable. Maybe because i clean the collection container each time before i run it. Some of my friends and relatives are using it too and they love it. There are other brands out there that cost double or triple the price and they maybe better. I don't know. This was my first Robotic Vac and if it crapped out tomorrow i would not hesitate to purchase another DEEBOT vac."",""Reviewed in the United States on July 30, 2019""";;;;;;;;
"2047,""I waited awhile to write this. I am extremely picky about my floors cleanliness. Especially with three small children. I secretly just wanted a reason to tell my husband I have to get a Roomba instead... not this ‘other’ brand.So while I waited to leave this review, I used the heck out of it. I even let it get the bugs I’m to chicken to pick up...And let me tell you.. it’s one tough, amazing robotic vacuum cleaner. I set a timer and it runs while we are away from the house daily. It doesn’t fall down the stairs, it gets all of the baseboards, it also smoothly goes over low rugs."",""Reviewed in the United States on July 30, 2019""";;;;;;;;
"2048,""I got this to help clean my tile floors. I’ve got two cats (one long hair, one short), a dog (short coat that gets stuck in anything with a weave), and a house under perpetual construction. This little guy just keeps going and going. I don’t have it on WiFi (can’t get any where I’m at) so I can’t give any input on that, but it’s working really well without it. I do wish it had a light or a sensor or a noise or something for when the bin was full, but other than that I love it! I’ll be getting a second one for my kitchen once a it’s done (different level otherwise one would be fine)."",""Reviewed in the United States on July 30, 2019""";;;;;;;;
"2049,""We had an original roomba and I was pretty hesitant about buying another robot because our OG one was loud and didn’t do that great with 3 dogs, 2 huskies and a shepherd. But I thought hell it’s a good deal why not. It’s a fraction of the price than a new roomba and it doesn’t work well I put my Echo on it and make it a mobile music station. Well it’s been a while now so I figured I would review about it. Hands down the best. I couldn’t be happier. We have all hard wood on our main floor and it does great, not perfect but damn near god status. Less traditional vacuuming and it’s not too loud. The integration with Alexa is awesome for the lazy minded people that don’t want to walk the 3 feet for the remote (that’s me). The sensor is pretty good about not hitting things, but still does. It is also possessed with the soul of an ex I think since it keeps chasing my wife and running into her or its because she kicked it a few times. Either way best bang for the buck."",""Reviewed in the United States on July 30, 2019""";;;;;;;;
"2050,""I have been looking at the different Robo Vacs for awhile. This was a budget model that I was paying attention to.Treasure Truck deal came along and figured it was time to jump in at a decent price. For the price the amount of features are pretty good.  Ability to connect via wifi and control through an app. Set schedules and perform different cleaning modes are a nice added bonus. I have hardwood floors but also a pretty thick rug. It does a great job navigating both. Criss crosses across the main rooms and eventually hits pretty much everything. Charge lasts a long time and I usually send it back home long before it runs out of juice.Having this I know what I would look for if I was going to upgrade and spend more for added features - I Wish the smart sensor was a bit smarter, able to map out a room to some degree and more efficiently clean the room. This model is random and does a good job avoiding things but still at times knocks in to chair legs relatively hard. Would also like to be able to set up room boarders so that you can specify if you want it to stay in a specific room. Houses with open concepts will find the thing wandering all over that level of the house. Not overly loud but you hear it going.Not a necessity but with 3 young kids it really helps to run it later at night and cleanup behind them, especially after dinner. A dog also performs this task relatively well."",""Reviewed in the United States on July 30, 2019""";;;;;;;;
"2051,""Bought this off the treasure truck a couple weeks back and didn't expect to be impressed, but boy, was I! It was easy to set up and runs quietly and picks up well. It's easy to empty. I do wish it had virtual walls because I have an open floor plan and don't always want to do the entire downstairs.  You can program cleaning times and it goes forever on a charge though, so not a big deal. Overall, I'd say it's a great value for the money! I also own a roomba Discovery (dinosaur). This picked up just a well or better and is way quieter but I'm sure the roombas have improved a lot since I got mine.  Pet owners: I have two dogs that shed and it's done a great job of getting the hair."",""Reviewed in the United States on July 30, 2019""";;;;;;;;
"2052,""Love this little vacuum!"",""Reviewed in the United States on July 30, 2019""";;;;;;;;
"2053,""Seems to do it’s job just fine. It does not get stuck under things like my “other name brand” one does."",""Reviewed in the United States on July 30, 2019""";;;;;;;;
"2054,""I’ve had the N79S for almost 4 months & my life (dare I say) is changed! Who knew I would love this almost as much as my kiddos?We have two long-haired big pups (golden retriever and English setter mix), two teens, and a always-on-the-field coaching husband. Deebot runs 2X a day for ~120 minutes at a time. She’s not perfect - but she does a better job than the people when she vacuums 4 hours per day. I never come close to that when I use my manual vacuum. We have an open dining, kitchen, breakfast nook, & LR floorplan.I purchased on sale and believe the item drops $30 off quite regularly, but I would pay full price. I’ve replaced the side brushes and filter once with a generic kit from Amazon & it is working great. The app and Deebot remote work great. I have mine set up on a schedule to come on automatically with the app. I rarely use Alexa to connect (tho it works).The negatives: I have to empty the canister a lot. We are a messy home with the animals/people. I would say once an hour I empty. It’s satisfying  to see all the dirt collected.It often schedules itself to come on at midnight. Despite all I do to correct this, it keeps happening. It wakes me up (not husband) when it rolls over floor vents and bumps into walls.I 100% recommend and think you’ll be happy - I wouldn’t buy a more $$ robot vacuum!"",""Reviewed in the United States on July 30, 2019""";;;;;;;;
"2055,""We love this machine. Good suction and sensor. The noise level is low. The control remote is very useful and convenient. The washable filters is a plus. Very well packed."",""Reviewed in the United States on July 30, 2019""";;;;;;;;
"2056,""Vacuum does great for daily cleaning in our house with 3 large and 1 small dogs. Doesn't do much with our shag area rug, but didn't expect it too. Does great on the wood floors as we can tell based on the amount of crap in its dust box."",""Reviewed in the United States on July 30, 2019""";;;;;;;;
"2057,""Perhaps I'm predisposed to like it since I hate sweeping. But this little robot picks up a mound of dog hair and filth everyday. We keep the house pretty clean so I was suprised how much it pick up EVERY day. It's crazy. I bought one for my folks too. They love it as well. Works with Alexa. <b>Note:</b> it drives my dog crazy if we run it in the middle of the night."",""Reviewed in the United States on July 29, 2019""";;;;;;;;
"2058,""It doesn't necessarily have all the features of the higher-end robot vacs, but it gets the job done. My biggest gripe is that it too easily gets caught on cords or lips between rooms. And I have to use crates or other items to block off access. But if you are good about setting things up, it will do a good job of cleaning."",""Reviewed in the United States on July 29, 2019""";;;;;;;;
"2059,""This is our second robot vacuum. This is super easy to use and picks up so much dog hair, it is amazing. The biggest upgrade over our first one is that this one has a roller brush in addition to, what I call the “filter feeders.” It really removes a lot of hair from the carpet."",""Reviewed in the United States on July 29, 2019""";;;;;;;;
"2060,""Need to ship device back in at my cost for warranty repair after only 2.5 months of use.  Not happy.  They will not send part needed for repair, but force me to ship entire unit back to them at my cost for what is a bad design.  They cheaped-out on the drive gears."",""Reviewed in the United States on July 29, 2019""";;;;;;;;
"2061,""This bot vacuum appeared on the treasure truck just after i had stayed in an AirBnB that had one.I have a cluttered one bedroom apt with a lot of furniture and open layout. It’s managed to maneuver itself throughout the apartment and does a great job cleaning. There are several options for full room, edge cleaning and spot cleaning, plus a timer to schedule it’s run times.  This machine is SO quiet... I didnt set the clock properly at first so it was vacuuming at11:30 at night instead of during the day. I woke up two days in a row with it caught on the throw rug next to where i sleep. I never heard it, it didn’t wake me.( It cleans so well, my concerns about it watching me sleep are allayed. <U+0001F606> ) It’s like having a pet that cleans up after ME!I may even get it a pair of ears and waggy tail for it. I love it that much."",""Reviewed in the United States on July 29, 2019""";;;;;;;;
"2062,""I have an apartment with hardwood floors and this is perfect"",""Reviewed in the United States on July 29, 2019""";;;;;;;;
"2063,""So happy with this vacuum. I have 2 german shepherds, one is long haired but both she’d A LOT! This vacuum gets so much hair off the floors and keeps house so much cleaner. I would normally vacuum every or every other day. I use this product 3-5 times a week and now only use real vacuum once a week to get into crevices that this one can’t reach. Very easy to clean out and maintain. Makes life a lot simpler."",""Reviewed in the United States on July 29, 2019""";;;;;;;;
"2064,""My floors are wood and tile only. We have two Persian cats that shed quite a bit. This little bot keeps it under control."",""Reviewed in the United States on July 29, 2019""";;;;;;;;
"2065,""Picks up pretty well. I gave two stars because it randomly stops working and going around in a small circle. Have tried all the troubleshooting in manual, as well as internet recommendations and videos. Then randomly will start working again after I give up. Sometimes a day later, sometimes a week later. I did get an extended warrenty, so I would strongly recommend the warrenty"",""Reviewed in the United States on July 29, 2019""";;;;;;;;
"2066,""Love this vacuum so far.. clean very good.. battery last a long time.. she will clean for 90 minutes on one charge..only one complaint , it will not always return to her home base.. she wants to clean so much she runs out of power before returning. But other then that .. it’s been great product ."",""Reviewed in the United States on July 29, 2019""";;;;;;;;
"2067,""Work great for first 6 months, later on got problems with battery, not clean like before."",""Reviewed in the United States on July 28, 2019""";;;;;;;;
"2068,""Bought in may 2018 stopped working in july 2019. Hardwood floor, no pets.Error: main brush malfunction, change the brush but still not working."",""Reviewed in the United States on July 28, 2019""";;;;;;;;
"2069,""Works well on all types of flooring in our house. Easy to clean."",""Reviewed in the United States on July 28, 2019""";;;;;;;;
"2070,""Item was defective upon receipt. Charging dock was functional, remote was functional, vacuum was entirely non-functional. Have ordered a replacement but so far very unimpressed."",""Reviewed in the United States on July 28, 2019""";;;;;;;;
"2071,""Great time saver. I have hardwood floors so this vac is perfect, picks up everything and finds it's way back home when battery gets low."",""Reviewed in the United States on July 28, 2019""";;;;;;;;
"2072,""Update: I successfully installed some simple ramps (available on Amazon), then discovered I needed to add some sand paper like, self-stick grippers (also available on Amazon) and double sided carpet tape (yes, also from Amazon) to make it all work and my self-engineered system functions perfectly, only adding about $36 to the overall cost. Now the robot can easily maneuver around my small apartment, crawling up the ramps to go in an out of the rooms. My complaint is if I accidentally set a timer for automatic cleaning, which I did three times on the remote because I wanted to set the time, but instead started the automatic scheduler. NOTHING I did with the help of customer support, would erase those scheduled sessions. Taking the battery out of both the remote and the unit itself and leaving them unconnected for a day made any difference. So I had to turn it off when on the charger, then manually turn back on when I want it to clean. I find this annoying. Even turned off, this thing makes a noise at the mistakenly scheduled time. OMG, what? So I've had to send it back twice now with the same error. So now I'm waiting for the 3rd new unit to arrive. Customer service is great, but two replacements in less than 4 months is also annoying. Obviously, the company stands behind it's product by allowing the returns at their cost, but I can't clean during the down time. It cleans very well on my uneven floor surfaces, running from LR rug, to hardwood floor, to kitchen, bathroom and hallway tile, then into the BR where it encounters rugs, yoga mats and hardwood floors. Ok, this all works thanks to my rigged up system of sticky ramps , but the timer issue puts a chink in the armor. And, BTW, the yoga mats don't like the main vacuum brush, so I move them now. Deebot likes to take little bites out of the padded mats, especially a very thick one I have. If DEEBOT can fix this software error, it will be a dynamic little cleaning device. Am I the only one who has this problem?(See update above) I will update my post after I receive some items I ordered to help it move around my entire apartment. I have 3/4 to 1"""" saddles at my doorways and the robot is not always able to climb them. He gets stuck coming out of my bedroom, but it's not his fault. In the meantime, this item works way better than I expected. The dust bin gets full and I have noticed that my floors and the areas under my bed, couches and other furniture are clean for the first time (because I don't like sweeping or vacuuming much). I had a small scheduling issue with the robot, but believe that is now resolved. I bought this item from the Prime Truck. As a bonus, they gave me a gift box full of 25 baby succulents. How did they know I have a huge, indoor succulent garden? I mixed in their plants with mine and now I have an enviable set of plants like I've always wanted. The price point for the robot was very low, so I am extremely happy with this purchase."",""Reviewed in the United States on July 28, 2019""";;;;;;;;
"2073,""After 6 months it stopped working. Period. Stopped charging and would beep uncontrollably and would not stop beeping unless I turned it upside down. Rendering it obviously completely useless. When it worked, it worked pretty well... but the fact that it failed after such a short amount of time and after the time to returned had been up... was incredibly disappointing."",""Reviewed in the United States on July 28, 2019""";;;;;;;;
"2074,""Love my deebot"",""Reviewed in the United States on July 28, 2019""";;;;;;;;
"2075,""100% recommended, for people who own pets, in my case, cat (on ceramic floor).  The difference is very effective.  It is not very loud and the battery lasts long enough"",""Reviewed in the United States on July 28, 2019""";;;;;;;;
"2076,""Quiet, easy to set up!"",""Reviewed in the United States on July 28, 2019""";;;;;;;;
"2077,""It cleans well but it never makes it back to the home dock. It always either gets stuck or doesn’t get back to the home dock in time and then dies so I go searching for it a lot. Not impressed"",""Reviewed in the United States on July 28, 2019""";;;;;;;;
"2078,""Awesome"",""Reviewed in the United States on July 28, 2019""";;;;;;;;
"2079,""I absolutely love this deebot! Iwantes to make sure that it picked up as much as my regular vacuum cleaner and it does! Unfortunately one of the pins came out of the clean up bin but that didn’t stop my love for this little machine. We have two dogs and it picks up all the hair!"",""Reviewed in the United States on July 27, 2019""";;;;;;;;
"2080,""Todo"",""Reviewed in the United States on July 27, 2019""";;;;;;;;
"2081,""This is the beat deal in a robotic vacuum that there is. Works great, goes up and over my jute rug, my thicker throw rugs and my bedroom carpet. Cleans great and easy to empty. I have a shedder of a lab dog and I run it every morning while I’m having my coffee. I find that the edge cleaning function is my favorite."",""Reviewed in the United States on July 27, 2019""";;;;;;;;
"2082,""wish it could be used by phone"",""Reviewed in the United States on July 27, 2019""";;;;;;;;
"2083,""I purchased my deebot and at first loved it.  Then just before the warrantee ran out the battery stopped charging.  It would beep constantly forcing me to turn the unit off.  I contacted the manufacturer, and they sent me a replacement.  However the replacement is extremely noisey.  I tried to contact them repeatedly regarding this and they answered at first.  Then later told me that my original warranty for the original machine is expired and I should just keep the product until they can open a service center.  I am upset that they feel sending a defective unit to replace a defective unit is good business.  Do not buy from this company.  They will not take care of their defective products.  This is a vacuum I used 1-2 times a week at most."",""Reviewed in the United States on July 27, 2019""";;;;;;;;
"2084,""You can’t beat the price if you have hard Or carpeted floors. Great if home is 2000 sqft or less. Doesn’t need barriers with minimal floor prep  can get itself out of tangles better than 5 different I’ve personally tried."",""Reviewed in the United States on July 27, 2019""";;;;;;;;
"2085,""Cleans very well. Runs a little louder than I thought it would. And now it has apparently decided to turn itself on to clean in the middle of the night! It woke me up at 130 a.m. beeping from the room next to mine! It was not programmed to clean, it just came on without any instructions to do so! :("",""Reviewed in the United States on July 26, 2019""";;;;;;;;
"2086,""Absolutely love this robotic vacuum! I purchased it during the Amazon prime day sale off the Amazon truck and picked it up that same day. I plugged it in that morning and by that afternoon it was ready to go! I have ceramic tile floors and this cleaned up everything. It has a great sense of direction and it had no problems picking up small items and hair also. It did however try to eat 1 of my shag carpets but that was expected since my carpet did have longer thread and it's probly not a good idea to use around that type of carpets. But I noticed that it did thoroughly clean the entire kitchen, dining Room and family Room area and when it was ready to go back and recharge it went straight back to its charging station on its own and was ready for me to use the next day. I don't think you're going to be able to find a robotic vacuum such as this to run on hardwood floors or tile floors at a whisper but it does do the job."",""Reviewed in the United States on July 26, 2019""";;;;;;;;
"2087,""It is so useful and such a necessity and not a luxury. My carpet is always so clean after I got it."",""Reviewed in the United States on July 26, 2019""";;;;;;;;
"2088,""Like/Pro: Strong suction"; different modes; has a mode to only clean corners which it does a wonderful job with; sensors so it doesn't fall off the stairs or hit the corners; goes back to it's charging station on it's own;has different troubleshooting indications via Deebot will stop moving and will have a sound and light, has removable dust chamber to clean out the dust and hair for easy clean-up; easy set-upDislike/Con: can't visually see on my phone where exactly Deebot’s cleaning path (but this is just one’s own opinion and wants; this part is not necessarily absolute necessary);" other than this, no complaints so far.I got this as an investment to help make my life easier, to delegate my home tasks so I can use that time to work on what will help me bring an ROI. Delegating the time I would have been using to vacuum my house, I delegated it to Deebot so I can use that time to work on my actual business to bring in income.I have hardwood and carpet and Deebot works reallyyyy well on the different surfaces."",""Reviewed in the United States on July 26, 2019"""
"2089,""This is probably the best cleaning purchase I’ve ever made. It rivals my Dyson vacuum and has reduced the amount of times that I have to sweep the floors to almost zero! Best for busy households";" 4 kids and 3 cats and 1 doggo. Yay for cleaner floors! Easy setup and maintenance."",""Reviewed in the United States on July 26, 2019""";;;;;;;
"2090,""Got the unit and it worked well but just stopped in another room.  Put it on the charger and it is no longer working.  Not sure what's happening.  Tried holding down power button according to trouble shooting chart.  No response from the unit.  If I take it off the charger and put it back on, the light will come on and then do off without charging.  Not happy unless I can get this resolved.  ***EDIT ****  Well, let me just say that I feel silly.  My wife actually decided to go through the instructions and found the problem.  When the unit got """"stuck"""" and stopped in the other room, as I mentioned above, somehow the power switch on the side got flipped """"off"""".  She turned the switch to """"on"""" and it started working again.  Duh..."",""Reviewed in the United States on July 26, 2019""";;;;;;;;
