"","X1","X2"
"17","









  
  
    
  This type of vacumn did not work for me. My house is an avg size Ranch house,but my rooms are smaller. I have too much stuff sitting on the floor like plants or wastebaskets. You have to have a clear space with electric cords not hanging down from sockets. It kept going into corners&getting stuck&sat spinning. It also was not the newest model&did not work with my new 5G network. You need to check details closely. It also does not hold much waste,so it has to be used more times per week to get everything.

  
","Reviewed in the United States on November 18, 2020"
"18","









  
  
    
  <U+0001F60A>

  
","Reviewed in the United States on November 18, 2020"
"19","









  
  
    
  Purchased this to replace a knock-off brand that I also bought off Amazon 13 months ago (it died on schedule, 1 month after the warranty!). The quality of this device with regard to the ability to pick up debris and pet hair is amazing. It does a great job. Running it daily, the bin in full each day.The problem is, it can't automate for the (lack of) life of itself. Each day, it's gotten stuck, gotten lost and battery died while trying to find the dock. (Perspective - It's in a 1-bedroom apartment - hard to get lost and the dock is in the dead center of a an open, minimally furnished den)Even when I'm home and tell it to dock (because it gets so lost the batter is too low to accept commands from Alexa), I have to hand guide it across the apartment step by step stopping it from going away from the dock.Will be returning this one. If you're looking for automation, don't waste your money.

  
","Reviewed in the United States on November 18, 2020"
"20","









  
  
    
  Good for what it does. I have 2 large dogs, a husky and a rottweiler, and it is able to clean up their hair without issue. I have tile and carpet in my house and it can clean both well.Few things about this when purchasing one, you will need to empty it often. Don't let it build up. Also make sure to clean the underneath out if there's any hair stuck in it.and also wires. this thing will suck up wires and keep going with it as long as it can. Make sure to clean up your cable/wire management when getting one of these.Other than that, I greatly appreciate this device. Works well, and will dock itself back into the charger at the end of its shift.

  
","Reviewed in the United States on November 18, 2020"
"21","









  
  
    
  Very simple  and easy to use, like all Roomba's it works great.

  
","Reviewed in the United States on November 18, 2020"
"22","









  
    
  compre la aspiradora hace mas de 2 semanas  y aun no puedo usarla porque la app que la hace funcionar, no esta disponible en Republica Dominicana, para ninguna plataforma (ni App Store ni Play store), la respuesta de atencion al cliente es poco menos que satisfactoria.Necesito poder resolverlo porque si no es un elefante blanco de mas de 200 dolares, algo costoso para un adorno, de hecho estoy pensando en devolver la aspiradora

  
  
","Reviewed in the United States on November 18, 2020"
"23","









  
  
    
  I called Rooma, my 675 was missing the charger.This model doesn't go back to the station by itself I was told that 675 is an older model ( doesn't do nearly what i4,i7 or i8 )Detail section: is very misleading!!The question and answer section is misleading.

  
","Reviewed in the United States on November 18, 2020"
"24","









  
  
    
  I took time out of my day to write this review and I want everyone reading this to understand I am saying this with my entire chest: do not buy this vacuum. I¡¯ve owned one other automatic vacuum from a different brand (DeeBot) that was SO much better and less expensive. Ive been using my iRobot for about 8 months and it causes me daily frustration. It never works how it¡¯s supposed to. Sometimes it stops for no reason as if it¡¯s stuck on something and tells me I need to clean the brushes, but there is nothing stuck in them. It doesn¡¯t clean the entirety of my apartment (900 sq ft) and I never feel like my floor is clean after it runs. It only docks itself half the time even though I placed the charger in a spot with 6 feet on either side and in front, as the directions say, which has to be in my hallway which is an eye sore. With my DeeBot I could charge it underneath my entertainment center which was hidden and out of the way and it would still find its way back 100% of the time. I went to go run my vacuum today only for it to say it had low battery- it¡¯s been charging all night! It¡¯s incredibly loud as well. The only redeeming quality of this vacuum is the customer service. I¡¯ve had to interact with them a few times because of an issue I was having with the vacuum and their responses and mail deliveries are always prompt. Otherwise, please go buy another brand. I had my DeeBot for over two years of daily use until it finally broke down and I thought I¡¯d try another brand. Big mistake.

  
","Reviewed in the United States on November 18, 2020"
"25","









  
  
    
  Tried 2 times different items both are  charging battery issue.

  
","Reviewed in the United States on November 17, 2020"
"26","









  
  
    
  I was excited for the roomba since I moved into a smaller space, was hoping for an easy clean. But this roomba is terrible. Wonders randomly, I watched it do a full clean and missed a big chunk of the room. And even places I watched it go over, litter and hair were still there on the floor. I should¡¯ve used the money I spent on this to just buy a small vacuum since I have to vacuum the area anyway

  
","Reviewed in the United States on November 17, 2020"
"27","









  
  
    
  Does it work as well as our ¡°real¡± vacuum?  No, but it¡¯s cleaning function is fine.  My biggest frustration is that the documentation is less than inadequate.  Clean a specific area?  I¡¯d love to know how..  send it back to the dock from the app?  I think you can, but....  If we weren¡¯t retired, I¡¯d send it back, but I¡¯ve got the time to work around it...

  
","Reviewed in the United States on November 17, 2020"
"28","









  
  
    
  I have always wanted a vacuuming robot, and was excited to put it to work. We don¡¯t wear shoes in the house and with hardwood floors, you notice every piece of debris either by sight or feel.We bought this at a big-box store and tried hard to love it after a week trial, but ultimately ended up returning it and getting a new Dyson V10 for $50 more.The fact that it cleans is undisputed: the proof is in the bin. Even on floors that appear to be clean, it still can get a lot of hair that would go unnoticed. We liked the way it would hug walls and used the rotating side brush to get into the corners. The issues were with how it cleans and how much attention it required to operate properly, in addition to continued cost-of-ownership through part changes at set intervals.As stated in the function description, it cleans at random: only changing course when it encounters and obstacle. The randomness may be acceptable to some, but when you¡¯re looking at the same debris in the same open spot after two days and have to use a regular vacuum to pick it up, you tend to question what you paid for.Also, the preparation required to make it work properly completely negates the convenience of automation. You will have to pick up everything that could get moved or ingested by the vacuum (shoes, cords, bathroom rugs) and actually move things around so that it doesn¡¯t get stuck (chairs, coffee tables, remembering to close doors to bedrooms). Even with all of this preparation, I would still get an app alert while at work that told me the vacuum got stuck on something or died in a corner while trying to find its way home.Perhaps spending a few more hundred dollars on a premium unit would resolve some of the problems, but others are just inherent in the nature of asking a machine to do something without human intervention.

  
","Reviewed in the United States on November 17, 2020"
"29","









  
  
    
  I have considered purchasing this item for several years as a dog owner, and finally decided to get it. I run the vacuum once a day so far. It is not the smartest, I am perplexed the paths it chooses although I think it does a ok job picking up dog hair and dust on this daily basis. The bin is quite small for the amount of hair my dog delivers around the house. So, most likely I will have to run the vacuum more often and try to limit it to the dog¡¯s favorite room. While it is convenient to have to avoid the accumulation of dog hair, it is definitely not a replacement for a real vacuum.

  
","Reviewed in the United States on November 17, 2020"
"30","









  
  
    
  I was so excited to get this. Although I am home most days, I thought how cool will it be to have a vacuum that vacuums while I am doing something else. I wish this little baby would¡¯ve worked out but here is why it didn¡¯t:1.) Biggest problem - would not get up on higher pile/plush  rugs (think shag) and even when put on the rug - would not travel and clean.2.) I found myself watching it work on the flooring it would travel on - no rhyme or reason and that drove me nuts. Now I admit- this was MY problem for watching it do it¡¯s job. So - should you buy one (which BTW - if you have mainly uncarpetted or lower pile carpeting - go for it! What a wonderful convenience) do one of two things. Either buy the Roomba with the mapping feature OR leave the house or work on a different floor of the house so you don¡¯t see the irrational pattern flow (it does seem to EVENTUALLY hit all the spots.3.) it did not return to the docking station as it was suppose to.Let me close by saying I really really wanted to love this machine - the reality of under beds and furniture getting vacuumed on a regular basis made me giddy. And I think I would still be thrilled with a machine that had mapping and worked on my shags. So don¡¯t be too hastily turned off to a Roomba if these would not be issues for you.

  
","Reviewed in the United States on November 17, 2020"
"31","









  
  
    
  This is the worst robot vacuum I have owned! I assumed being a Roomba that it would be fairly intuitive, however it was nearly impossible to connect to the app. It gets stuck everywhere and can't maneuver out of the places it gets itself into. If it gets bumped slightly on its charging base it dill not reconnect itself, rather it will just let its battery die. Finally, for whatever reason, if you cancel a cleaning and send it back to its home base it will random travel around your house for another solid 15 minutes going nowhere near the base. There are cheaper options out there that are so much better than this machine.

  
","Reviewed in the United States on November 16, 2020"
"32","








  Your browser does not support HTML5 video.

  <U+00A0>I raised my couch and recliner so the vac could clean under neight. The only issue is it some times gets caught on the toe kick of my kitchen cabinets. But keeping the hair picked up after 2 Doberman pinchers is a job and this little vac does the job. My youngest likes to try to get it to play and has learned to turn it on and off by bumping the button with her nose.

  
","Reviewed in the United States on November 16, 2020"
"33","









  
  
    
  its the best.even after vacuuming with my heavy duty canister. it fines things to pick up .  BEST THING I BOUGHT MYSELF

  
","Reviewed in the United States on November 16, 2020"
"34","








  Your browser does not support HTML5 video.

  <U+00A0>One of the things I really like in this product is it's ability to recognize the project infront of it . The roomba can clean and once it notice a cabinet or even a stair it avoids it and goes to another direction . Super smart !This roomba really saved me the time for cleaning everyday , now I can just open the app scedual automatic cleaning time And the device will go back to it's charging station to charge for the next cleaning date !The one coin I have about this device is that it can not clean my high carpet , it just keeps turning around it self without moving so I think it can work only on smooth surfaces or low carbets .Over all . I'm so impressed with this technology and I highly recommend it to every one .

  
","Reviewed in the United States on November 16, 2020"
"35","









  
  
    
  My kitchen floor doesn't get any cleaner when it is mopped. I love that it cleans under beds where it is hard for me to clean. Goes from area rugs to hardwood floors seamlessly.

  
","Reviewed in the United States on November 16, 2020"
"36","








  Your browser does not support HTML5 video.

  <U+00A0>Useless piece of machine. I will never recommend this product.

  
","Reviewed in the United States on November 16, 2020"
"37","









  
  
    
  After 18 months of use, my iRobot is no longer docking, and the only solution from support through iRobot is to pay $132 for a repair. This is not reasonable for such a new product. When we purchase another vacuum it will not be from iRobot.

  
","Reviewed in the United States on November 16, 2020"
"38","









  
  
    
  No remote control was shippedFront panel will not light up, there for unable to pair with cell phone

  
","Reviewed in the United States on November 16, 2020"
"39","









  
  
    
  Sent this item as housewarming gift and they love item. Wished I¡¯d have bought myself one.

  
","Reviewed in the United States on November 15, 2020"
"40","









  
  
    
  We're pretty happy with it.  It does not get stuck too often and does a good job.

  
","Reviewed in the United States on November 15, 2020"
"41","









  
  
    
  We named her Hazel.  She does a great job. We have one large short hair dog.

  
","Reviewed in the United States on November 15, 2020"
"42","









  
  
    
  My wife and I love this. We have a Corgi (who sheds) and it seems to pick up all of his hair no matter where it goes. On hardwood floors and carpet we dont have any issues at all. Mind you, we have always kept a clean house, but this has made that job so much easier! If you are up in the air on purchasing one, DO IT! You wont regret it.

  
","Reviewed in the United States on November 15, 2020"
"43","









  
  
    
  The roomba doesnt sit right on the base and i need to weight the top in order for it to charge the unit.

  
","Reviewed in the United States on November 15, 2020"
"44","









  
  
    
  Excellent product! Had it about two months now and it has exceeded our expectations.

  
","Reviewed in the United States on November 15, 2020"
"45","









  
  
    
  I was amazed at how much dust this thing collected on it's first use. One thing I learned is that it will get tangled up in electric cords that lie on the floor so try to have them out of the way when you want it to run. This is not the most sophisticated model so it runs randomly around the floor but eventually cleans it all.  A more expensive model might run a tractor-like pattern but I am happy with the job this thing does. I don't have any pets so I did not rate it for picking up pet hair.

  
","Reviewed in the United States on November 15, 2020"
"46","









  
  
    
  Vacuum work ok but so far has not returned to home base.

  
","Reviewed in the United States on November 15, 2020"
"47","









  
  
    
  Honestly I like this vacuum because all I have to do is turn on my wifi and press a button and have clean floors in my house. That's my favorite thing about this robot. The suction I'm neutral about. It does aimlessly wander not knowing where it had just cleaned up. I really can't complain too much about it otherwise. I turned it loose through the house and it just leaves that much less for anyone else I ask to do in the house. My biggest con is it doesn't get corners very well. Otherwise I love having a cleaning robot around especially for when I can't get my kids to do the vacuuming. I turned it loose in my mother's bedroom and it picked up hair she had no idea she had lost over the last several years especially since she couldn't get under her bed or way behind her desk. We actually love this thing.

  
","Reviewed in the United States on November 14, 2020"
"48","









  
  
    
  Best investment.  Purchased as a birthday present so I didn¡¯t need to vacuum every other day.  Love this!  Have 4 pets and the hair was getting to be unmanageable.  Need to clean the vacuum every other day (empty dirt trap and clean the pet hair off the brushes) but is so much nicer than doing the cleaning of the floors by myself.  I run when at work, and it does get stuck at least once a week.  Usually on a stray sock, cat toy, or on a power cord.  The app will send me a message letting me know.  Is easier to run when in the house so can help when stuck, which defeated some of the purpose of buying, but I will never live without a Roomba again!

  
","Reviewed in the United States on November 14, 2020"
"49","









  
  
    
  I wasn't sure I needed a robot vac and felt like it was a little indulgent, but now having used it twice, I don't know how I ever lived without it. This is a basic model without as many features as the more sophisticated and expensive models, but for a small house or apartment it does a great job. I love that it can get to places that are hard to reach like underneath the bed, and it did a great job picking up pet hair. It's relatively quiet and can be controlled using the app on your phone. It snagged on some loose rug fringe but that's my fault for not trimming it. When it has a problem, you'll receive a error message on your phone and can fix it easily.

  
","Reviewed in the United States on November 14, 2020"
"50","









  
  
    
  We vacuum our home once a week with an upright vacuum cleaner. It works great but we just don't have time to vacuum more often to keep up with the volume of pet hair that collects rapidly. We purchased the Roomba as a ""supplementary"" vacuum cleaner that we run nightly that has helped tremendously with collecting pet hair in between our weekly vacuums. I really do like the Roomba but can't give it 5 stars as I don't want to mislead others in believing that you'd never have to vacuum yourself again. If I had to rely on just this device to vacuum my home,  I don't believe that I'd be as satisfied. It is random and has to be redirected often as it sometimes gets lost and can't find its way out of some rooms.  It also gets stuck a lot which causes you to have to pick it up and move it. I really don't mind but I definitely couldn't turn it on when I'm not home as it does require some supervision. Overall, I am happy with it and am glad that I have this device to help clean my home.

  
","Reviewed in the United States on November 14, 2020"
"51","









  
  
    
  Wonderful

  
","Reviewed in the United States on November 14, 2020"
"52","









  
  
    
  My daughter ordered one for me and at first it looks impressive until it got stuck and seems like its left handed. If it cant go yo the left 3x why it keep on going there not going righy until it drains the battery which is stupid.

  
","Reviewed in the United States on November 14, 2020"
"53","









  
  
    
  I bought a Roomba 3 years ago and really liked it but it got worn out, the handle broke and it seemed like it wasn't picking up very well despite cleaning it extremely well.I bought this model and it certainly is more advanced with the biggest feature having the connection to your iphone so you know when it is stuck, etc.  But there are few features that I do not like such as the bin to empty the dirt.  This bin is very hard to open, the door gets stuck and I feel like it will break soon.  I can't believe technology like this vacuum would have such a poor trash door for the area you have to use most.I do not know what the newer models have but I suspect it must be better than this one.

  
","Reviewed in the United States on November 13, 2020"
"54","









  
  
    
  i like how it picked up the dirt but it gets full so easily with dog hair.

  
","Reviewed in the United States on November 13, 2020"
"55","









  
  
    
  Roomba is my new best friend. With back problems, vacuuming was something that I dreaded. Now the air in our home even smells fresher & my precious kitty's hair is sucked up completely! I can't believe how strong the suction is.

  
","Reviewed in the United States on November 13, 2020"
"56","









  
  
    
  This vacuum is great for picking up dog hair (our Great Pyrenees sheds like crazy) and it also picks up typical dust from wooden floors in living room and carpet in bedrooms. The random pattern is tricky, as some areas get more coverage than others. The solution is the more expensive models with row patterns and area mapping, but at a cost of two or even three of this particular model. Buying this on sale was an overall good investment.

  
","Reviewed in the United States on November 13, 2020"
"57","









  
  
    
  If you are expecting this to be the only thing you use to clean your floors, you will be disappointed.  This is a supplement tool to keeping your floors clean, and for that purpose it is amazing.  We have it set to run daily while we are at work. I love it.  You will still need to clean an occasional corner, and damp mop as needed.  It also helps you keep stuff like toys and cords picked up as it will get tangled.  Over all, we absolutely recommend and we are glad we have it.  Worth the price.

  
","Reviewed in the United States on November 13, 2020"
"58","









  
  
    
  Worth every penny! Highly recommend to people with pets. Obviously if you have pets who shed a lot or many pets, this won¡¯t replace vacuuming. However, since I only have one dog it does a pretty good job of cleaning daily.

  
","Reviewed in the United States on November 13, 2020"
"59","









  
  
    
  We resisted for years and finally decided to try. It has been one week and I say what good is a robot if it can¡¯t see or if it has no memory! True on both counts. It can¡¯t find the base, it wanders off to farthest corners of the house, without cleaning the areas on the way. Then it can¡¯t return to base. I am not ready to shell out another $100 or so on virtual walls. So I am back to my Dyson and wait another five years then check out the bot world again. May be Tesla will come up with something worth calling a bot.

  
","Reviewed in the United States on November 13, 2020"
"60","








  Your browser does not support HTML5 video.

  <U+00A0>Love it! I sweep every day and can¡¯t get up all the dog hair I feel like I constantly walk around with hair stuck to my feet. I pre-swept before the first time I ran the roomba and showed the results in the picture of how much dirt was picked up. The picture was taken the second day after a second run by rumba with even more hair picked up. You can see in the first picture of the debris picked up that it even picked up a heavy washer which is impressive suction power for a tiny vacuum. I love that it can get under most of my tables and cabinets where I have trouble getting all of the dirt out with the broom . Obviously my dogs are not a fan but they adjusted after it ran for a bit.I will say it¡¯s a little louder than I thought it would be but I can still sit and watch TV while it¡¯s running around me downstairs.

  
","Reviewed in the United States on November 12, 2020"
"61","









  
  
    
  Great for cleaning up hair.

  
","Reviewed in the United States on November 12, 2020"
"62","









  
  
    
  We do have two dogs, but it¡¯s not that big of space and it runs out of juice before it can effectively clean 4 smallish rooms. All wood floors, no rugs so it¡¯s not like it¡¯s struggling with carpet. Also disappointing is it hardly ever finds the base. I always have to carry it back and line it up to charge.

  
","Reviewed in the United States on November 12, 2020"
"63","









  
  
    
  This is my second robot vacuum. I opted to spend the money because of the reviews and I thought it would be better than the previous one I owned which was half the price. This vacuum is not worth the money. It¡¯s loud, it gets stuck on anything and everything so having a scheduled cleaning is useless unless you¡¯re home, and it seems to do to the same spots and miss many areas. I would opt for a cheaper one if I could go back.

  
","Reviewed in the United States on November 12, 2020"
"64","









  
  
    
  Very Disappointed in this roomba. I got it for Christmas last year and for a second, I thought it was a huge advancement over the cheap off brand roomba I had before. But, it is nothing but irritation now. It constantly gets stuck (on a ledge, trying to go under the couch, on the piano pedal, etc), misses large areas of a room, only vacuums small areas of rooms and for some irritating reason, seems to always find itself under my desk and under my feet........and won't leave. I know you get what you pay for and if we had bought the more expensive one, it may perform better, but I am not entirely sure it is worth paying more for 1. This one isn't any better than the off brand one I had before. Very disappointed.

  
","Reviewed in the United States on November 12, 2020"
"65","









  
  
    
  I mean, he is kind of stupid, and gets stuck almost every time we run him, but he does what we ask of him! I'm so glad it came with replacement parts, it wasnt long before we had to replace the little spinners.

  
","Reviewed in the United States on November 12, 2020"
"66","









  
  
    
  This was my second robot vaccuum, and unfortunately it only served it's purpose for a few months and I will not buy the same model again.  It lost the ability to seat itself properly on the charging station.  So for the first few times I dealt with the problem by setting it on there manually. But after awhile even that became problematic as it would take multiple attempts before it hit the sweet spot.  Sometimes I would give up, and then randomly it would come on later and try again and again to seat itself to no avail.  I did not drop or otherwise damage the unit or the charging station, so I have no idea why this problem started. Boo.

  
","Reviewed in the United States on November 12, 2020"
"67","









  
  
    
  Omg!  I love this guy !Its worth every penny!

  
","Reviewed in the United States on November 12, 2020"
"68","









  
  
    
  I had it for 3 months and it worked great. Then it quit docking. Called customer service and they sent a new battery. Worked fine for another month and then quit docking again. I just got use to putting it back on its charger each time. I tried everything. Cleaned it up like they suggested no luck. Then 2 months ago it kept going in circles. Did what they suggested cleaned brushes, wheels, etc. Didn't matter still went in circles. Now for what ever reason it just won't charge again, so haven't used it in a month. Way to much money for all the troubles its caused. Loved it for the 3 months it worked...

  
","Reviewed in the United States on November 12, 2020"
"69","









  
  
    
  Actually never had a problem even with 5 small dogs in the house hand cleaning.  Hair was a factor but was hoping this would clean up seed from our pet and rescue parrots.  As many birds as we have living in our living room seed hulls and seed on the floor is a common problem.  Yes our birds and dogs all are part of the family, so they are out to socialize with us, although the birds are in or on their cages based on size most of the day.  Found that this works pretty much as well as a standard pet hair vac to clean up most.  She understood how to control it within 2 minutes of my putting the app on her phone.  Dogs and cats leave hair, birds leave lots of seed hulls and seed outside the cage.  Yes I would purchase this again, does it job without question, was impressed with its cleaning up where we were 2 days since we had ran the vacuum.  Well worth the price, it even cleans up under large parrot cages minimizing the need to move them around.

  
","Reviewed in the United States on November 11, 2020"
"70","









  
  
    
  My Mom and 2 sisters have been telling me to get a roomba for a couple of years.  We have 3 dogs and a siamese cat.I recommend doing a deep clean/clear as you introduce the roomba to each room of your house - then set it to clean daily.  Mine handles changes from floor to rugs to carpet without issue.  It¡¯s easy to operate with the app and easy to clean/maintain.  I highly recommend.

  
","Reviewed in the United States on November 11, 2020"
"71","









  
  
    
  I have to say is the better thing I have been purchase this year. Leave the floor very clean. I regrets that I do not purchase this before.

  
","Reviewed in the United States on November 11, 2020"
"72","









  
  
    
  If you have any part of any carpet that has black in it ...  The Roomba will stop and give you an error ...There are what is called CLIFF Sensors, and if those sensors see anything black, they think the Roomba is going off a cliff (or more likely a stairwell) ...  There is NO WAY to turn these sensors off, every web-site about this issue says to tape slips of white paper over the sensors ...  I paid $250 to tape paper over 4 sensors on the Roomba to get it to work ...  Ridiculous !!!  I did the paper trick, worked for awhile, then stopped working ... (Paper got dirty)  so then other sites suggested taking the brand-new Roomba apart (a 2 to 3 hour process with dozens of screws) ....  Pull the LEDs from the sensors and point them at each other ...  Didn't work ...  tried 3 times ...  Hours of frustration ...  Brand new Roomba, $250 dollars into the trash !!!

  
","Reviewed in the United States on November 11, 2020"
"73","









  
  
    
  The Robot 1 was bought as a birthday present for my wife. So far she like's it so far.

  
","Reviewed in the United States on November 11, 2020"
"74","









  
  
    
  This doesn't replace my upright vacuum, but its very useful in keeping my fully carpeted apartment generally clean and tidy, and helps a lot with allergies.

  
","Reviewed in the United States on November 11, 2020"
"75","









  
  
    
  I purchased 3 different models of a robotic vacuum cleaners. This was by far the worst. I returned it.

  
","Reviewed in the United States on November 11, 2020"
"76","









  
  
    
  Got it last week. Won't connect to my phone and now it won't power on

  
","Reviewed in the United States on November 11, 2020"
"77","









  
  
    
  Unbelievable!!! SO disappointed. I bought this roomba as a gift and I¡¯m sitting here moments after it was opened before my eyes and I am EMBARRASSED. The box (it was a Roomba box) looked fine, but when it¡¯s opened, the actual box for the roomba is inside and it¡¯s ripped up. The Roomba itself is all scratched up. It¡¯s so obviously used and it was super dusty. Didn¡¯t even try it. It¡¯s going back.

  
","Reviewed in the United States on November 10, 2020"
"78","









  
  
    
  I totally dislike this item because it does not clean the whole area.  It randomly goes around and some areas are never vacuumed.  I spent over an hour with tech support only to be told I would have to pay about $150 to have the them look at it.  Since that is about half the original purchase price I declined.  I have friends who have other models that they are happy with but I give this one a rating of one.

  
","Reviewed in the United States on November 10, 2020"
"79","









  
  
    
  Never gets stuck, cleans carpets and hardwood, small dirt compartment, but that doesn't bother me, I can schedule it to clean at 4am from my phone ! The app also tells you how to take care of it and when there is a problem, also how to solve the problem! AMAZING! Wish it told me when it was full.

  
","Reviewed in the United States on November 10, 2020"
"80","









  
  
    
  First of all, I bought this so I wouldn't have to keep sweeping up cat litter.  All it does is fling the cat litter around, so I'm still having to sweep it up.  Secondly, it just randomly roams around the same areas repeatedly, while bypassing other areas altogether.  I have to follow it around the house and get in its way, or pick it up and move it, if I want it to vacuum any other areas.  I am not impressed and will be returning it.

  
","Reviewed in the United States on November 10, 2020"
"81","









  
  
    
  Cleans the same areas excessively while leaving other areas untouched. Will wedge itself in the same spot multiple times in a session to the point that it shuts off. Other than those two things I would say it¡¯s worth the money. Not really for a deep clean but does a decent job.

  
","Reviewed in the United States on November 10, 2020"
"82","









  
  
    
  I did a lot of research before purchasing this model and the main reason I decided on it is because it said it was good for pets. There are quite a few things I do not like about it.Before sucking up the big fuzzies it blows them up in the air or to an area it already went through. It will also do the same area over and over again. Instead of it going along the walls/baseboards it doesn¡¯t continue, it leaves the area and will go across the room. I tried to send it back to ¡°home¡± it¡¯s docking station and it went around the whole house before I finally picked it up and carried it to the station.I don¡¯t have carpeting so the thing glides along very easily. I pickup all pet toys and electrical wires and I let it go for about 3 hours. The only downside is that it cannot find its way home <U+0001F602> and it blows the hair around instead of picking it up.I was very impressed that when I took it upstairs to clean it sensed the edge of the stairs and it turned around.

  
","Reviewed in the United States on November 10, 2020"
"83","









  
  
    
  I have had this product for about 4 weeks and have used it 4-5 times per week since receiving it.  Maybe twice out of about 18 or so uses did the vaccuum actually make it back to it's home base.  The 'runs for up to 90 minutes before automatically docking & recharging' is fake news.  It runs for as long as it possibly can before dying in the most inconvenient locations, as far out of reach as possible, such as under the bed.  It also has difficulty finding it's home base.  Once it's done cleaning and is attempting to return home (according to the app), it aimlessly wanders around the house, nowhere near where it is supposed to return to.  I gave it 3 stars because it does clean the floors well, but definitely does not work as advertised when it comes to being 'smart', so if you're buying this particular model because of this park, go elsewhere.

  
","Reviewed in the United States on November 9, 2020"
