",""X1"",""X2""";;;;;;;;;
"1038,""Ok. So, I’ve had this robot vacuum for a little over a month and I think I’ve learned enough about it to finally write this review. I wanted to get myself one for Christmas but was hoping the Roombas would go on sale more than they did. I read the reviews for this one and they seemed great so I didn’t understand why anyone would spend $150+ more dollars when this one was working so well. I’ve since found out why. I named it Toto and my husband named it dumb***. It gets stuck on EVERYTHING! A vent on the floor.. the lip of the fridge.. under the crib.. under the computer chair.. etc. each time I blocked where it was getting stuck it would find a new place and I have yet to come home and find it back on it’s charger - I have to press the alarm button to find what new place it got stuck. Now I only run it when we’re at home and my husband and I are going multiple times to “rescue Toto” which takes as much effort as just vacuuming the house. Spend the extra money and get the smart robot vacuums that map your house and allow you to block off areas using the app - this one will save you no time and will not make things easier."",""Reviewed in the United States on December 25, 2019""";;;;;;;;;
"1039,""This is a great buy if you can’t afford a name brand roomba.  The only problems I have with it is sometimes it will “get lost” trying to dock.  But that only happens every so often.  Would definitely recommend!"",""Reviewed in the United States on December 25, 2019""";;;;;;;;;
"1040,""So the first one of these I bought lasted a week, this second one made it 11 months. I’m thinking I’ll just keep to the good old broom and sweeper. Don’t waste your time."",""Reviewed in the United States on December 24, 2019""";;;;;;;;;
"1041,""This stopped working shortly after the warranty period. Very disappointing. I would recommend buying a more quality product like a Roomba. You get what you pay for."",""Reviewed in the United States on December 24, 2019""";;;;;;;;;
"1042,""I love my Deebot.  I have a roomba for one level and the deebot for another and I cannot tell the difference.  Deebot is much cheaper.  I program it using the remote which was pretty simple, however the roomba has a nice app to program."",""Reviewed in the United States on December 24, 2019""";;;;;;;;;
"1043,""Only had it for 1 year and 2 months and it already does not work! We loved it and thought it was great until recently. It won’t charge or run anymore. So sad."",""Reviewed in the United States on December 24, 2019""";;;;;;;;;
"1044,""Worked perfect for 7 months and then just decided to stop. Will try to trouble shoot but  disappointed"",""Reviewed in the United States on December 24, 2019""";;;;;;;;;
"1045,""Love this guy.  A third of the price and just as good as the other $$$ brand.  I have it set to run daily at 1 pm and it’s bin is full every single day!  We have three dogs and hardwoods so this is one less chore I have to do!"",""Reviewed in the United States on December 24, 2019""";;;;;;;;;
"1046,""Only used it for a month and now when we start it, we get the dreaded 4 beeps that I’ve been reading about.  Watched a YouTube video that says it’s a beater brush issue. Sooooo, you need to get a tiny Phillips screwdriver and take a panel off, and clean all the matted hair that’s stuck deep within the unit.  Also must pop off the tiny spinner brushes and wheels and clean those too.  My old roomba ran for years and I never had to do this!  I’m going back to the Roomba."",""Reviewed in the United States on December 24, 2019""";;;;;;;;;
"1047,""Great purchase for our new apartment! We have it set to auto clean at 2 PM daily so that we come home to a freshly vacuumed home."",""Reviewed in the United States on December 24, 2019""";;;;;;;;;
"1048,""First, it was very affordable! When I took it out of the box, I did not think it was going to be very effective. I was so wrong!! This little baby is awesome!!! Cannot believe how much I appreciate the work it does! Let it run every day. The only thing you need worry about is keeping the floor clear of items it can get tangled with. Which motivates you keep the clutter picked up - another plus. I have a long haired cat, and the cat hair is usually everywhere. Now, I hardly see cat hair much at all when it runs. For a couple of days, I did not run the DEEBOT and it was so noticable! I got that scheduler set back up immediately! So nice to walk barefoot in the house again....I had no idea how useful something like this could be and how happy it would make me!"",""Reviewed in the United States on December 23, 2019""";;;;;;;;;
"1049,""This product worked very well for about 1 year. Now it has a side brush malfunction and will not work. Hopefully I can get it repaired."",""Reviewed in the United States on December 23, 2019""";;;;;;;;;
"1050,""Couldn’t be happier!!!  My wife was skeptical at first but is now a believer as she has not had to vacuum for the past two months."",""Reviewed in the United States on December 23, 2019""";;;;;;;;;
"1051,""It worked great for about a year... then it began stopping in in the hallway or bedroom as though it was stick although nothing was obstructing its path. I cleaned out the bin thinking that it was full, but that didn’t fix the problem. I don’t know what else to do?!"",""Reviewed in the United States on December 23, 2019""";;;;;;;;;
"1052,""I wouldn’t suggest buying this robot vacuum. Customer service has been helpful, but now I’m scared to receive the replacement because so many reviews say the second or third crapped out faster than the original one they had. It’s probably because they send a refurbished one back to you. I’ve had my vacuum for 7 months and now it spends in circles and I was told it was a sensor bumper issue. The vacuum was never that good to start with. Bumps every wall and will always run over your feet. I sweep everyday because I have four pets, but this was just a nice backup. I’m going to go through with the return just to have an extra vacuum, but I will definitely be buying a roomba as the main replacement. It’s worth the money to buy one that’s a better quality and roomba stands by their products."",""Reviewed in the United States on December 23, 2019""";;;;;;;;;
"1053,""So to start, we have 3 dogs and 2 cats in the home. One of our dogs is a shepherd/husky mix, another a German Shepherd.....so we have LOTS of dog hair. This robot vacuum can keep up pretty well....as long as we keep up with emptying it.  It is super easy to take apart to clean out but with it's random pattern in which it moves, it takes a long time to get everything.  We also have an issue with it getting stuck, but it does alarm out and we just go to find it and move it.  All in all, it's a good investment and helps cut down on household chores."",""Reviewed in the United States on December 23, 2019""";;;;;;;;;
"1054,""I like the way this vacuum dusts my hardwood floors. It keeps the dust off the floors so that they shine all the time. I also like the app, it allows me to start the vacuum while no one is home in a regular basis so my floor get vacuumed everydayI I love this little guy, but it not good for deep cleaning, but great for surface cleaning. The transition from hardwood, carpet and tile is also great, it goes into my bathrooms too where I have ceramic tile and sweeps up all the hair from combing and brushing my hair. This vacuum does a lot for the price. Great deal!"",""Reviewed in the United States on December 23, 2019""";;;;;;;;;
"1055,""I dont personally believe this vacuum will replace your real big vacuum however, this has been my angel, cause it does amazing job in between my cleaning. If you are busy person, dont have enough time to vacuum, turn this to move everyday and it will do goods enough job, just make sure there are no wires on the floor having out, it will try to vacuum the wires and get tangled. Make sure the pathway is clear then you are good to go with this. of course, these things can be improved more but this is great for a price."",""Reviewed in the United States on December 23, 2019""";;;;;;;;;
"1056,""We USED to love this robot vacuum";" however, exactly one year after getting it, it’s completely stopped working. They are sending us a new battery. Hoping this will fix it. At first they wouldn’t do anything since it had been a year, but after several emails back and forth they are sending us a new battery. Fingers crossed it works again <U+0001F91E><U+0001F3FC>"",""Reviewed in the United States on December 23, 2019""";;;;;;;;
"1057,""This may be great for someone with no pets, being that I have 5 cats and a dog it was pointless it filled up way too fast and just did not suck up enough I ended up returning it"",""Reviewed in the United States on December 23, 2019""";;;;;;;;;
"1058,""I had to allergies medication all the time have not taken an allergy medicine in months now fantastic purchase"",""Reviewed in the United States on December 23, 2019""";;;;;;;;;
"1059,""This vacuumn runs every night at a programmed time. It is used for everyday cleanup. There are no pets in the house. The stair sensor is a big plus. It has no problem going from the hardwood floor to a large area rug. It does however occassionally get stuck going over a runner that is in a narrow area. Perfect price and performance for everyday use for three months now."",""Reviewed in the United States on December 23, 2019""";;;;;;;;;
"1060,""At first I got this as a gift for our house and didn’t use it for 8months. We recently started using this 4 months ago (we use it about 2 times a day) it was working wonderfully for the first 3.5 months. Then it was starting to stop and beep and the side brushes would stop spinning. I have a feeling that the side brushes are going out because of the random cleaning it does and bumping into everything. I think this because the brushes stop spinning for a bit then when it bumps into something like a wall or door it seems like it glitches and starts spinning again. It’s got great suction power when it actually works. So super bummed I had to give it low star rating. Maybe the manufacturer will reach out and try to make it right...hopefully I can update my review."",""Reviewed in the United States on December 22, 2019""";;;;;;;;;
"1061,""I want to start by saying we have 6 cats and 2 dogs in a six person household with multiple floor types. The upkeep of vacuuming our home was daunting when we moved in. This is exactly what we needed.Each cleaning session (scheduled through the remote) lasts approximately 2 hours. Cheryl (what we named our robot maid) does a very fine job wondering around the while downstairs maintaining the floors.  We have lived at this house for a month and haven't had to physically vacuum ourselves once.We do not have any issues with Cheryl returning to her charger once she finishes he job and have not found any spots that she has missed for more than 2 days on a random cleaning pattern. Best purchase ever!"",""Reviewed in the United States on December 22, 2019""";;;;;;;;;
"1062,""This is an economy robotic vacuum that I purchased because I didn’t want to spend tons of money on something I didn’t like. This has been life changing! Seriously!! So happy with this purchase!"",""Reviewed in the United States on December 22, 2019""";;;;;;;;;
"1063,""I get the four beeps error message that I cannot seem to fix. I tried replacing the main brush, taking everything apart to clean every inch of the robot including its motor, but it still doesn't work.For what it's worth, it used to work pretty well. Would be a great starter vacuum cleaner, but just keep in mind that it dies pretty early and difficult to repair"",""Reviewed in the United States on December 22, 2019""";;;;;;;;;
"1064,""Yeah! Slays those dust bunnies and keeps the floors free of human and pet hair. Even goes underneath couch, beds, and kitchen island. We really like it."",""Reviewed in the United States on December 22, 2019""";;;;;;;;;
"1065,""Purchased in May 2018 and worked pretty well on hardwood floors. Had more trouble with thick rugs. Moved kind of randomly so definitely missed spots and the app is crummy.  Got stuck frequently so I had to reset often and thus, not good for using when I was not home. In addition, the thing just stopped working more recently. Contacted the seller and basically they said it was past a year, so their limited 1 year warranty was no good.  I'd save yourself some money and go with a different, higher quality brand."",""Reviewed in the United States on December 22, 2019""";;;;;;;;;
"1066,""This product has been great! I highly recommend."",""Reviewed in the United States on December 22, 2019""";;;;;;;;;
"1067,""This is the same comparison review i left on the roomba 675  thought i would also post it hereGo with ecovac trust me :The irobot 675 Works well, if this is your first auto vacuum...But my old ecovac deebot n79 BLOWS this out of the waterHeres whyThe 675 CONSTANTLY gets stuck!It gives up and sends alerts after 2/3 triesWhile the ecovac will keep at it untill free and has never asked me for helpOn the same topic, i have a 3/4” thick high pile grey area rug very common in most people’s homes, the n79 will back itself right up onto it. While The irobot fails to shimmy itself onto it, let alone START on it. because the front wheel burrows itself into the shag and tricks the poorly placed sensors into thinking its on a “cliff”CostSee for yourself i can buy two n79’s for the same price...NOISESpecs rate the irobot two 2DB. Lower than the ecovac. That may be true but, the irobot makes a morbid grinding high pitch nuisance from the drivetrain while the ecovac makes an even somewhat soothing white noise humFiltrationThe n79 has overall three filters including a washable prefilter that keeps the 2nd and 3rd stage filters cleaner, thus not having to buy a stockpile of filters for the yearThe irobot 675 has one... crappy barely cleanable coffee filter like piece of paper.This is why the irobot has better suction and cleaning power spec wise because it is basically unrestricted airflow.A couple of other quick things-volumeThe irobot doesnt stfu its constantly talking and beeps at fire alarm level VolumeThe ecovac beeps at a moderate volume at start and that’s itThe only pros i have on the irobot wheel/motor assembly are replaceable.Assumably longer lifespanruntime and cleaning power are better on the irobot.. but personally who cares its an auto vacuum im going to be running it 24/7 therefor its eventually going to clean everything"",""Reviewed in the United States on December 22, 2019""";;;;;;;;;
"1068,""I got two of this baby! I got one for Mom after trying it out at my place for awhile. It works very well and keeps the floor clean. When you’re on bare feet after coming out of the shower, they don’t pick up any dust or hair. The robot vacuum does an amazing sucking job."",""Reviewed in the United States on December 21, 2019""";;;;;;;;;
"1069,""it worked fine about 5 times and then died. I bought a replacement battery and that didn't fix the issue.While it worked:Pros: much more silent than the Roomba, good suction. Good cheaper vacuum if it had lastedCons: broke after 5 uses. Gets stuck much more easily than the Roomba, I need to be present to get it unstuck under chairs or rugs or dishwasher (Roomba never got stuck). There's no top handle to grab it and move it easily.if it had lasted I would have given it a 4 star for the value, since it's useless, 0 stars."",""Reviewed in the United States on December 21, 2019""";;;;;;;;;
"1070,""Excellent help for quick vacuum"",""Reviewed in the United States on December 20, 2019""";;;;;;;;;
"1071,""We have 3 kids, 3 cats, and a dog. This isn't perfect, misses some along walls and in corners, but keeps the floors looking a lot better than they did before!"",""Reviewed in the United States on December 20, 2019""";;;;;;;;;
"1072,""This vacuum is quieter than other name brands I’ve had. The dust bin is always full so it does pick up quite a bit. However, it doesn’t pick up all the dog hair. It is los profile";" fits under all of my furniture. It cleans in the strangest pattern. It goes from kitchen to living room to bedroom to kitchen to hall to kitchen to bedroom to living room. Totally random and not the same pattern each day. It doesn’t clean the entire room either. I’m pretty satisfied so far but I’ll see how it holds up over time."",""Reviewed in the United States on December 20, 2019""";;;;;;;;
"1073,""Will run as long as advertised. Picks up a lot of lint and dust bunny’s. Very pleased."",""Reviewed in the United States on December 20, 2019""";;;;;;;;;
"1074,""This little guy is fantastic. Yes, it's a random only. Yes, it's kind of dumb sometimes. But....it works.We run our Deebot in each room every other day (kitchen/living area one day, bedroom another day). With hardwood and a low-pile carpet, it keeps picking things up.- Alexa integration: it's nice to have, but limited. You can tell it to start, stop, ask it where it is (it beeps), and to go home and charge. You cannot change modes.- App integration: Functional remote with status. Can select everything you can on the remote, but also gives status. The app isn't required, but recommended.- WiFi: Haven't had it disconnect.- Navigation: The IR proximity sensors help it avoid obstacles but it's not perfect. It's wide enough for doors, walls, etc, but it generally won't see narrow objects like a chair leg. Otherwise, it's a lite bump.- Performance: It works well. It keeps picking things up and generally keeps itself clean. Note, we do not have pets. The bucket needs to be emptied about every two room cleanups (say, 800 sq. ft.) but it's easy to do.- Failures: There are some cases where it can get stuck. Rugs with fringe or fuzzy bathroom rugs. These were getting the side brushes tangled. Additionally, there are some vertical geometries to be aware of in the kitchen. With those thick padded standing mats, it can sometimes wedge itself underneath the edge of the cabinet and the rug. Either way, it senses that something is wrong, stops, and beeps (app will notify).- Minor annoyance: The Deebot has preset programs, that you can modify on the fly (say MAX vacuum setting versus normal). But, they do not stick and have to be set every time. Additionally, I don't think the remote allows you to set the vacuum pressure";" it's only available in the app.Overall, for how cheap it was on a Daily Deal and our first foray into robot vacuums, this thing has been great at keeping our floor clean."",""Reviewed in the United States on December 20, 2019""";;;;;;;;
"1075,""Overall very good"",""Reviewed in the United States on December 20, 2019""";;;;;;;;;
"1076,""It constantly get stuck under sofas Or on threshold only used once or twice would not buy again  My return window was closed could not return"",""Reviewed in the United States on December 20, 2019""";;;;;;;;;
"1077,""I would not recommend buying this product. I purchased in July of 2018. In October of 2018, the robot suddenly stopped working for no apparent reason. I will give the company credit as they sent me a new machine at no cost to me. It’s now December of 2019 and my replacement bot has stopped working. After googling, it appears to need a new battery, which will cost another $30. The bot works well, gets stuck often, but cleans my hardwood floor well when it does work. However, having to completely replace the bot once and replace the battery in a year and half is not the quality I was looking for."",""Reviewed in the United States on December 19, 2019""";;;;;;;;;
"1078,""I use almost daily. I love it. With 4 cats, I need to clean often. This vacuum does the trick. It cleans well and runs well on carpets and hardwoods. I have not been able to enact the phone app- the only negative. I would recommend to anyone."",""Reviewed in the United States on December 19, 2019""";;;;;;;;;
"1079,""It doesn't work anymore. It worked for about 6 months it went change the battery anymore."",""Reviewed in the United States on December 19, 2019""";;;;;;;;;
"1080,""Its really easy to program and it does it's job!"",""Reviewed in the United States on December 19, 2019""";;;;;;;;;
"1081,""Easy to use and it works great!"",""Reviewed in the United States on December 19, 2019""";;;;;;;;;
"1082,""Not recommended it’s no longer working and I barely use it"",""Reviewed in the United States on December 18, 2019""";;;;;;;;;
"1083,""Works great on hard floors and carpet."",""Reviewed in the United States on December 18, 2019""";;;;;;;;;
"1084,""Really liked it for cleaning before I vacuumed or swept.  Approx. 6 months before it stopped working it started acting weird and would get stuck in places it never should have got stuck.  That being said it has stopped working 1 year and 3 months after purchasing.  I do not recommend this product"",""Reviewed in the United States on December 18, 2019""";;;;;;;;;
"1085,""We have 2 dogs and all hardwood floors. This vacuum works great as a daily maintenance vacuum! We still use a regular vacuum weekly to get the places it missed (mostly corners and under kitchen cabinets)."",""Reviewed in the United States on December 18, 2019""";;;;;;;;;
"1086,""Use this almost everyday"",""Reviewed in the United States on December 18, 2019""";;;;;;;;;
"1087,""Cleaning up pet hair"",""Reviewed in the United States on December 18, 2019""";;;;;;;;;
"1088,""Long story short"; my home is all hardwood with some carpets here and there. I also have a dog. Before I used this vacuum I cleaned to the best of my effort, the floor broom, mop and all. After I let it charge I let go on automatic and it went all throughout my 3bedroom home and cleaned up way more than I thought!  When I emptied the bin I was surprised to see all that it cleaned after I had just cleaned myself. One month after having it and setting it to run every day;" my sweeping has been cut less than half and i go straight to mopping."",""Reviewed in the United States on December 17, 2019""";;;;;;;
"1089,""Works great on hardwood floors and hard surfaces."",""Reviewed in the United States on December 17, 2019""";;;;;;;;;
"1090,""Seems to work OK"",""Reviewed in the United States on December 17, 2019""";;;;;;;;;
"1091,""It does the job, but suddenly it started to not charge fully and started working without instructed."",""Reviewed in the United States on December 17, 2019""";;;;;;;;;
"1092,""Rubbish.. it's great till it works.. it worked perfectly for a year till the warranty period runs out and then the battery dies out so fast that it's barely possible for it to work for more than 10 minutes. It could be better if atleast it was possible to change the battery by yourself.. but replacement battery is not provided by ecovacs."",""Reviewed in the United States on December 17, 2019""";;;;;;;;;
"1093,""Works great you would be amazed what this thing can pick up."",""Reviewed in the United States on December 17, 2019""";;;;;;;;;
"1094,""Vacuum was used in conjunction with helping clean up dog hair and dry messes around the house from kids.  It worked well as I cleaned up and put out the dogs and kids down for naps.  It wasn't before long about 4 months into using it everyday that it broke and would no longer work.  The other disappointment about it was that instead of being able to map the house, it would just clean at random intervals with no real sense of I cleaned this line and moving over to the next row it would instead just zig zag...it typically would get most of everything before it ran out of battery and had to recharge.Since the item didn't last long and did an okay job for what it did, I do not recommend this product at all.  Going to try the named brand iRobot and see if that does better."",""Reviewed in the United States on December 17, 2019""";;;;;;;;;
"1095,""Great  vacuum  you must be patient with it. It needs a couple  runs to cover  larger areas  I'm  very pleased with the performance. <U+0001F60A>"",""Reviewed in the United States on December 17, 2019""";;;;;;;;;
"1096,""Works like a charm. We have two kids and things get messy real quick. Crackers, food etc etc. All over the floor. The bad boy is a big help. I program it at night to do the dirty work. Also love that I can control it with the app."",""Reviewed in the United States on December 16, 2019""";;;;;;;;;
"1097,""Within 3 months, the sensor stopped working so it ran into everything. It's a little over a year old, it runs for about 10 minutes and then stops. It says main brush malfunction. We have changed the brushes, cleaned the motor, replaced the battery, and nothing seems to work. We have a few friends who also have this vacuum and they have sensor issues as well. Now I have to find a replacement.Update: We ended up ordering a new battery as suggested from YouTube videos but that didn't work. I ordered a new motor off aliexpress and it worked. The vacuum was back to functioning for several months. Unfortunately, now there's another issue. It keeps saying drop sensor malfunction or malfunction: please check to see if deebot is powered on...as it beeps and does nothing. I'm so over this vacuum."",""Reviewed in the United States on December 16, 2019""";;;;;;;;;
"1098,""Great product took out of box easy set up.works great."",""Reviewed in the United States on December 16, 2019""";;;;;;;;;
